config,n_features,val_score,submission_path,val_pred_path
stepA_split_80_20_catboost_no_d,359,0.5334755482919487,/content/drive/MyDrive/jaggle_2026/data/output/20260809/20260809_18_multi_model_expanded_d_stepA_split_80_20_catboost_no_d.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260809/20260809_18_multi_model_expanded_d_stepA_split_80_20_catboost_no_d_valpreds.npy
stepA_split_80_20_catboost_d_original,389,0.5396202744733998,/content/drive/MyDrive/jaggle_2026/data/output/20260809/20260809_18_multi_model_expanded_d_stepA_split_80_20_catboost_d_original.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260809/20260809_18_multi_model_expanded_d_stepA_split_80_20_catboost_d_original_valpreds.npy
stepA_split_80_20_catboost_d_expanded,439,0.5370330732722114,/content/drive/MyDrive/jaggle_2026/data/output/20260809/20260809_18_multi_model_expanded_d_stepA_split_80_20_catboost_d_expanded.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260809/20260809_18_multi_model_expanded_d_stepA_split_80_20_catboost_d_expanded_valpreds.npy
stepA_split_75_25_catboost_no_d,359,0.5546752816027583,/content/drive/MyDrive/jaggle_2026/data/output/20260809/20260809_18_multi_model_expanded_d_stepA_split_75_25_catboost_no_d.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260809/20260809_18_multi_model_expanded_d_stepA_split_75_25_catboost_no_d_valpreds.npy
stepA_split_75_25_catboost_d_original,389,0.5525156896134404,/content/drive/MyDrive/jaggle_2026/data/output/20260809/20260809_18_multi_model_expanded_d_stepA_split_75_25_catboost_d_original.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260809/20260809_18_multi_model_expanded_d_stepA_split_75_25_catboost_d_original_valpreds.npy
stepA_split_75_25_catboost_d_expanded,439,0.544730635616702,/content/drive/MyDrive/jaggle_2026/data/output/20260809/20260809_18_multi_model_expanded_d_stepA_split_75_25_catboost_d_expanded.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260809/20260809_18_multi_model_expanded_d_stepA_split_75_25_catboost_d_expanded_valpreds.npy
stepB_split_80_20_lightgbm_d_expanded,439,0.5663548422305529,/content/drive/MyDrive/jaggle_2026/data/output/20260809/20260809_18_multi_model_expanded_d_stepB_split_80_20_lightgbm_d_expanded.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260809/20260809_18_multi_model_expanded_d_stepB_split_80_20_lightgbm_d_expanded_valpreds.npy
stepB_split_80_20_xgboost_d_expanded,439,0.5693820299894398,/content/drive/MyDrive/jaggle_2026/data/output/20260809/20260809_18_multi_model_expanded_d_stepB_split_80_20_xgboost_d_expanded.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260809/20260809_18_multi_model_expanded_d_stepB_split_80_20_xgboost_d_expanded_valpreds.npy
stepB_split_75_25_lightgbm_d_expanded,439,0.5885560354253344,/content/drive/MyDrive/jaggle_2026/data/output/20260809/20260809_18_multi_model_expanded_d_stepB_split_75_25_lightgbm_d_expanded.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260809/20260809_18_multi_model_expanded_d_stepB_split_75_25_lightgbm_d_expanded_valpreds.npy
stepB_split_75_25_xgboost_d_expanded,439,0.5904524083527731,/content/drive/MyDrive/jaggle_2026/data/output/20260809/20260809_18_multi_model_expanded_d_stepB_split_75_25_xgboost_d_expanded.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260809/20260809_18_multi_model_expanded_d_stepB_split_75_25_xgboost_d_expanded_valpreds.npy
