config,n_features,val_score,submission_path,val_pred_path
split_80_20_baseline,439,0.5367483477677168,/content/drive/MyDrive/jaggle_2026/data/output/20260810/20260810_20_eda_v3_driven_features_split_80_20_baseline.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260810/20260810_20_eda_v3_driven_features_split_80_20_baseline_valpreds.npy
split_80_20_E_memo,443,0.5252850736626483,/content/drive/MyDrive/jaggle_2026/data/output/20260810/20260810_20_eda_v3_driven_features_split_80_20_E_memo.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260810/20260810_20_eda_v3_driven_features_split_80_20_E_memo_valpreds.npy
split_80_20_F_grade_consistency,441,0.5330400157302263,/content/drive/MyDrive/jaggle_2026/data/output/20260810/20260810_20_eda_v3_driven_features_split_80_20_F_grade_consistency.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260810/20260810_20_eda_v3_driven_features_split_80_20_F_grade_consistency_valpreds.npy
split_80_20_G_self_study,442,0.5334359919543664,/content/drive/MyDrive/jaggle_2026/data/output/20260810/20260810_20_eda_v3_driven_features_split_80_20_G_self_study.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260810/20260810_20_eda_v3_driven_features_split_80_20_G_self_study_valpreds.npy
split_80_20_combo_EFG,448,0.5259789394301869,/content/drive/MyDrive/jaggle_2026/data/output/20260810/20260810_20_eda_v3_driven_features_split_80_20_combo_EFG.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260810/20260810_20_eda_v3_driven_features_split_80_20_combo_EFG_valpreds.npy
split_75_25_baseline,439,0.5519604844636833,/content/drive/MyDrive/jaggle_2026/data/output/20260810/20260810_20_eda_v3_driven_features_split_75_25_baseline.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260810/20260810_20_eda_v3_driven_features_split_75_25_baseline_valpreds.npy
split_75_25_E_memo,443,0.5432683582961595,/content/drive/MyDrive/jaggle_2026/data/output/20260810/20260810_20_eda_v3_driven_features_split_75_25_E_memo.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260810/20260810_20_eda_v3_driven_features_split_75_25_E_memo_valpreds.npy
split_75_25_F_grade_consistency,441,0.5483129656058481,/content/drive/MyDrive/jaggle_2026/data/output/20260810/20260810_20_eda_v3_driven_features_split_75_25_F_grade_consistency.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260810/20260810_20_eda_v3_driven_features_split_75_25_F_grade_consistency_valpreds.npy
split_75_25_G_self_study,442,0.5405055489913003,/content/drive/MyDrive/jaggle_2026/data/output/20260810/20260810_20_eda_v3_driven_features_split_75_25_G_self_study.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260810/20260810_20_eda_v3_driven_features_split_75_25_G_self_study_valpreds.npy
split_75_25_combo_EFG,448,0.5241227987614935,/content/drive/MyDrive/jaggle_2026/data/output/20260810/20260810_20_eda_v3_driven_features_split_75_25_combo_EFG.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260810/20260810_20_eda_v3_driven_features_split_75_25_combo_EFG_valpreds.npy
