config,n_features,val_score,submission_path,val_pred_path
split_80_20_baseline,439,0.5542195020390243,/content/drive/MyDrive/jaggle_2026/data/output/20260810/20260810_22_ensemble_weight_tuning_split_80_20_baseline.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260810/20260810_22_ensemble_weight_tuning_split_80_20_baseline_valpreds.npy
split_80_20_E_memo,443,0.5304889937322255,/content/drive/MyDrive/jaggle_2026/data/output/20260810/20260810_22_ensemble_weight_tuning_split_80_20_E_memo.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260810/20260810_22_ensemble_weight_tuning_split_80_20_E_memo_valpreds.npy
split_80_20_F_grade_consistency,441,0.5488193328024509,/content/drive/MyDrive/jaggle_2026/data/output/20260810/20260810_22_ensemble_weight_tuning_split_80_20_F_grade_consistency.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260810/20260810_22_ensemble_weight_tuning_split_80_20_F_grade_consistency_valpreds.npy
split_80_20_G_self_study,442,0.5319757219271631,/content/drive/MyDrive/jaggle_2026/data/output/20260810/20260810_22_ensemble_weight_tuning_split_80_20_G_self_study.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260810/20260810_22_ensemble_weight_tuning_split_80_20_G_self_study_valpreds.npy
split_80_20_combo_EFG,448,0.5256773611489084,/content/drive/MyDrive/jaggle_2026/data/output/20260810/20260810_22_ensemble_weight_tuning_split_80_20_combo_EFG.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260810/20260810_22_ensemble_weight_tuning_split_80_20_combo_EFG_valpreds.npy
split_75_25_baseline,439,0.553841865728593,/content/drive/MyDrive/jaggle_2026/data/output/20260810/20260810_22_ensemble_weight_tuning_split_75_25_baseline.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260810/20260810_22_ensemble_weight_tuning_split_75_25_baseline_valpreds.npy
split_75_25_E_memo,443,0.5550048411874661,/content/drive/MyDrive/jaggle_2026/data/output/20260810/20260810_22_ensemble_weight_tuning_split_75_25_E_memo.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260810/20260810_22_ensemble_weight_tuning_split_75_25_E_memo_valpreds.npy
split_75_25_F_grade_consistency,441,0.5613400946377686,/content/drive/MyDrive/jaggle_2026/data/output/20260810/20260810_22_ensemble_weight_tuning_split_75_25_F_grade_consistency.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260810/20260810_22_ensemble_weight_tuning_split_75_25_F_grade_consistency_valpreds.npy
split_75_25_G_self_study,442,0.550363274065994,/content/drive/MyDrive/jaggle_2026/data/output/20260810/20260810_22_ensemble_weight_tuning_split_75_25_G_self_study.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260810/20260810_22_ensemble_weight_tuning_split_75_25_G_self_study_valpreds.npy
split_75_25_combo_EFG,448,0.5393981421031685,/content/drive/MyDrive/jaggle_2026/data/output/20260810/20260810_22_ensemble_weight_tuning_split_75_25_combo_EFG.csv,/content/drive/MyDrive/jaggle_2026/data/output/20260810/20260810_22_ensemble_weight_tuning_split_75_25_combo_EFG_valpreds.npy
